source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,biological regulation,GO:0065007,TRUE,0.002384623990994010,2.62258009105166,4036,99,46,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS12G0283400,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS01G0802700,OS02G0178700,OS11G0666200,OS03G0741100,OS07G0680600,OS02G0187700,OS11G0664400,OS11G0665600,OS05G0466100,OS05G0326400,OS02G0126400,OS05G0595300,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS01G0174700,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0285800,OS02G0531600,OS04G0634700,OS03G0107700,OS08G0374000,OS01G0575200,OS08G0108100,OS03G0725800,OS04G0584600,OS08G0546100,OS02G0132500,OS09G0524800"
GO:BP,regulation of RNA biosynthetic process,GO:2001141,FALSE,0.0044656499129265300,2.350115326684130,1814,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of DNA-templated transcription,GO:0006355,FALSE,0.0044656499129265300,2.350115326684130,1814,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of biological process,GO:0050789,FALSE,0.0044656499129265300,2.350115326684130,3743,99,42,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS01G0802700,OS02G0178700,OS11G0666200,OS03G0741100,OS07G0680600,OS02G0187700,OS11G0664400,OS11G0665600,OS05G0466100,OS05G0326400,OS02G0126400,OS05G0595300,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS01G0174700,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0285800,OS02G0531600,OS04G0634700,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS04G0584600,OS02G0132500"
GO:BP,positive regulation of response to salt stress,GO:1901002,TRUE,0.007743639362775140,2.111054881216680,19,99,3,15906,"OS03G0133000,OS03G0285800,OS04G0584600"
GO:BP,regulation of primary metabolic process,GO:0080090,FALSE,0.007743639362775140,2.111054881216680,2334,99,29,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS05G0326400,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of RNA metabolic process,GO:0051252,FALSE,0.007743639362775140,2.111054881216680,1910,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of nitrogen compound metabolic process,GO:0051171,FALSE,0.007743639362775140,2.111054881216680,2307,99,29,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS05G0326400,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of cellular process,GO:0050794,FALSE,0.007743639362775140,2.111054881216680,3431,99,38,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS01G0802700,OS02G0178700,OS11G0666200,OS03G0741100,OS02G0187700,OS11G0664400,OS11G0665600,OS05G0326400,OS02G0126400,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS01G0174700,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0285800,OS04G0634700,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS04G0584600,OS02G0132500"
GO:BP,cell wall biogenesis,GO:0042546,TRUE,0.007743639362775140,2.111054881216680,136,99,6,15906,"OS04G0604900,OS04G0604300,OS03G0301200,OS01G0926700,OS03G0416200,OS07G0252400"
GO:BP,regulation of nucleobase-containing compound metabolic process,GO:0019219,FALSE,0.007743639362775140,2.111054881216680,1958,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,RNA biosynthetic process,GO:0032774,FALSE,0.007743639362775140,2.111054881216680,1993,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,DNA-templated transcription,GO:0006351,FALSE,0.007743639362775140,2.111054881216680,1984,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,response to water deprivation,GO:0009414,FALSE,0.007743639362775140,2.111054881216680,84,99,5,15906,"OS03G0133000,OS03G0741100,OS03G0437200,OS03G0285800,OS04G0584600"
GO:BP,response to water,GO:0009415,TRUE,0.007743639362775140,2.111054881216680,87,99,5,15906,"OS03G0133000,OS03G0741100,OS03G0437200,OS03G0285800,OS04G0584600"
GO:BP,response to acid chemical,GO:0001101,FALSE,0.008403979040029710,2.0755150394182500,90,99,5,15906,"OS03G0133000,OS03G0741100,OS03G0437200,OS03G0285800,OS04G0584600"
GO:BP,response to organic substance,GO:0010033,FALSE,0.010395371617502800,1.9831599807388500,875,99,15,15906,"OS09G0457900,OS03G0171300,OS07G0674800,OS03G0133000,OS01G0802700,OS03G0741100,OS03G0832200,OS02G0128000,OS01G0174700,OS03G0437200,OS01G0826400,OS01G0313300,OS03G0285800,OS08G0374000,OS04G0584600"
GO:BP,regulation of cellular metabolic process,GO:0031323,FALSE,0.010513774180625400,1.9782413551815400,2458,99,29,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS05G0326400,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,nucleobase-containing compound biosynthetic process,GO:0034654,FALSE,0.012722989721814400,1.895410823662500,2246,99,27,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS07G0661000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,response to salt,GO:1902074,FALSE,0.014804603777825900,1.829603211334900,109,99,5,15906,"OS03G0133000,OS03G0741100,OS03G0437200,OS03G0285800,OS04G0584600"
GO:BP,heterocycle biosynthetic process,GO:0018130,FALSE,0.014804603777825900,1.829603211334900,2409,99,28,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS04G0463500,OS07G0661000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of macromolecule metabolic process,GO:0060255,FALSE,0.014804603777825900,1.829603211334900,2527,99,29,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS05G0326400,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of response to salt stress,GO:1901000,FALSE,0.015989197862079600,1.796173323171260,28,99,3,15906,"OS03G0133000,OS03G0285800,OS04G0584600"
GO:BP,response to salt stress,GO:0009651,FALSE,0.015989197862079600,1.796173323171260,113,99,5,15906,"OS03G0133000,OS08G0495500,OS02G0128000,OS03G0285800,OS04G0584600"
GO:BP,regulation of response to osmotic stress,GO:0047484,FALSE,0.01674703728433510,1.7760620127986100,29,99,3,15906,"OS03G0133000,OS03G0285800,OS04G0584600"
GO:BP,regulation of metabolic process,GO:0019222,FALSE,0.01887291954977550,1.7241609113729800,2602,99,29,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS05G0326400,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS03G0107700,OS08G0374000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of gene expression,GO:0010468,FALSE,0.018967234234083700,1.7219959924875400,2231,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of macromolecule biosynthetic process,GO:0010556,FALSE,0.019428502351311500,1.7115606757578800,2240,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,aromatic compound biosynthetic process,GO:0019438,FALSE,0.019979163666841400,1.6994226954132300,2501,99,28,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS04G0463500,OS07G0661000,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of cellular biosynthetic process,GO:0031326,FALSE,0.020570463139557700,1.6867559301482500,2260,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,regulation of biosynthetic process,GO:0009889,FALSE,0.020570463139557700,1.6867559301482500,2264,99,26,15906,"OS09G0457900,OS04G0572400,OS01G0298400,OS02G0677300,OS03G0171300,OS09G0522000,OS07G0674800,OS03G0133000,OS01G0821600,OS01G0134700,OS01G0714800,OS02G0178700,OS03G0741100,OS02G0187700,OS02G0687200,OS05G0537100,OS05G0183100,OS04G0517100,OS06G0726300,OS03G0437200,OS01G0826400,OS01G0196300,OS01G0313300,OS01G0575200,OS03G0725800,OS02G0132500"
GO:BP,response to inorganic substance,GO:0010035,FALSE,0.021787025764233100,1.6618020530187600,192,99,6,15906,"OS03G0133000,OS03G0741100,OS02G0128000,OS03G0437200,OS03G0285800,OS04G0584600"
GO:BP,response to osmotic stress,GO:0006970,FALSE,0.022580838108989800,1.6462599428647900,131,99,5,15906,"OS03G0133000,OS08G0495500,OS02G0128000,OS03G0285800,OS04G0584600"
