"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","true","3.058375942116454e-8","7.514509131235158","1020","455","65","16978","OS01G0134700,OS01G0141000,OS01G0174000,OS01G0185900,OS01G0298400,OS01G0313300,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS03G0169600,OS03G0191900,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0764600,OS03G0811400,OS03G0860100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0605100,OS04G0648900,OS04G0665600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS07G0119300,OS07G0182000,OS07G0581700,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0705900,OS12G0634500"
"GO:MF","transcription regulator activity","GO:0140110","false","0.0000012170894132176612","5.914677515245182","1135","455","65","16978","OS01G0134700,OS01G0141000,OS01G0174000,OS01G0185900,OS01G0298400,OS01G0313300,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS03G0169600,OS03G0191900,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0764600,OS03G0811400,OS03G0860100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0605100,OS04G0648900,OS04G0665600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS07G0119300,OS07G0182000,OS07G0581700,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0705900,OS12G0634500"
"GO:MF","chitinase activity","GO:0004568","true","0.0003572444891082442","3.447034461958517","44","455","9","16978","OS01G0860400,OS01G0860500,OS02G0605900,OS05G0247100,OS06G0356800,OS08G0518900,OS10G0542900,OS11G0701500,OS11G0701800"
"GO:MF","nitrate transmembrane transporter activity","GO:0015112","true","0.0007217563497461536","3.141609386667768","11","455","5","16978","OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS10G0554200"
"GO:MF","DNA binding","GO:0003677","false","0.00326642247143468","2.485927645335086","2043","455","84","16978","OS01G0134700,OS01G0141000,OS01G0142500,OS01G0174000,OS01G0185900,OS01G0298400,OS01G0313300,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0722300,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0530300,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0685200,OS02G0698800,OS02G0713700,OS02G0720900,OS02G0752800,OS02G0766700,OS03G0133000,OS03G0169600,OS03G0191900,OS03G0270000,OS03G0279700,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0799000,OS03G0811400,OS03G0860100,OS04G0119500,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS05G0553400,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0184800,OS07G0558100,OS07G0568300,OS07G0581700,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0128400,OS11G0184900,OS11G0705900,OS12G0634500"
"GO:MF","sequence-specific DNA binding","GO:0043565","true","0.00326642247143468","2.485927645335086","727","455","39","16978","OS01G0134700,OS01G0185900,OS01G0298400,OS01G0624700,OS01G0625300,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0187700,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0698800,OS02G0752800,OS03G0133000,OS03G0191900,OS03G0437200,OS04G0541700,OS04G0580300,OS04G0605100,OS04G0665600,OS05G0129300,OS05G0183100,OS05G0537100,OS06G0496400,OS07G0182000,OS07G0581700,OS07G0606600,OS07G0688200,OS08G0487100,OS09G0474000,OS10G0376900,OS11G0128400,OS11G0705900,OS12G0634500"
"GO:MF","inorganic anion transmembrane transporter activity","GO:0015103","false","0.0037710440773616486","2.423538391369753","50","455","8","16978","OS01G0645900,OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS06G0143700,OS08G0300300,OS10G0554200"
"GO:MF","UDP-glycosyltransferase activity","GO:0008194","true","0.004971108608954346","2.3035467482763523","350","455","23","16978","OS01G0638000,OS01G0686300,OS01G0752600,OS01G0805400,OS01G0865400,OS02G0329800,OS02G0594900,OS02G0798100,OS03G0269900,OS04G0206500,OS04G0320700,OS04G0477500,OS04G0523600,OS05G0499800,OS05G0526900,OS05G0527100,OS05G0552700,OS07G0252400,OS07G0503300,OS08G0489100,OS09G0518200,OS10G0534700,OS10G0555100"
"GO:MF","acetylglucosaminyltransferase activity","GO:0008375","false","0.005092155263177898","2.2930983628908486","18","455","5","16978","OS02G0594900,OS02G0798100,OS03G0269900,OS04G0477500,OS10G0534700"
"GO:MF","oxidoreductase activity, acting on other nitrogenous compounds as donors","GO:0016661","true","0.01901072991983828","1.7210012080123958","6","455","3","16978","OS01G0357100,OS02G0770800,OS08G0468100"
