source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,DNA-binding transcription factor activity,GO:0003700,TRUE,0.000013907559055277800,4.856749087250750,1020,351,49,16978,"OS04G0605100,OS01G0174000,OS02G0752800,OS01G0900800,OS01G0185900,OS07G0688200,OS02G0766700,OS03G0169600,OS04G0665600,OS07G0581700,OS07G0684900,OS05G0129300,OS04G0648900,OS02G0265200,OS06G0496400,OS06G0662200,OS02G0713700,OS08G0490100,OS02G0671300,OS01G0141000,OS03G0237250,OS03G0860100,OS03G0811400,OS12G0634500,OS02G0698800,OS06G0166400,OS01G0625300,OS09G0474000,OS09G0410700,OS08G0487100,OS02G0649300,OS11G0705900,OS03G0191900,OS10G0376900,OS01G0693400,OS04G0541700,OS04G0580300,OS07G0119300,OS03G0764600,OS06G0284500,OS03G0270000,OS05G0549800,OS06G0107800,OS07G0606600,OS02G0638650,OS01G0624700,OS02G0232000,OS02G0191600,OS07G0182000"
GO:MF,chitinase activity,GO:0004568,TRUE,0.00005516338023580470,4.258349129501650,44,351,9,16978,"OS11G0701500,OS08G0518900,OS05G0247100,OS06G0356800,OS11G0701800,OS10G0542900,OS02G0605900,OS01G0860400,OS01G0860500"
GO:MF,transcription regulator activity,GO:0140110,FALSE,0.00011663764947805500,3.933161240989370,1135,351,49,16978,"OS04G0605100,OS01G0174000,OS02G0752800,OS01G0900800,OS01G0185900,OS07G0688200,OS02G0766700,OS03G0169600,OS04G0665600,OS07G0581700,OS07G0684900,OS05G0129300,OS04G0648900,OS02G0265200,OS06G0496400,OS06G0662200,OS02G0713700,OS08G0490100,OS02G0671300,OS01G0141000,OS03G0237250,OS03G0860100,OS03G0811400,OS12G0634500,OS02G0698800,OS06G0166400,OS01G0625300,OS09G0474000,OS09G0410700,OS08G0487100,OS02G0649300,OS11G0705900,OS03G0191900,OS10G0376900,OS01G0693400,OS04G0541700,OS04G0580300,OS07G0119300,OS03G0764600,OS06G0284500,OS03G0270000,OS05G0549800,OS06G0107800,OS07G0606600,OS02G0638650,OS01G0624700,OS02G0232000,OS02G0191600,OS07G0182000"
GO:MF,nitrate transmembrane transporter activity,GO:0015112,TRUE,0.00018104200046931800,3.742220660180230,11,351,5,16978,"OS10G0554200,OS01G0704100,OS02G0595900,OS02G0112100,OS02G0112600"
GO:MF,inorganic anion transmembrane transporter activity,GO:0015103,FALSE,0.0007337240098833200,3.134467269136720,50,351,8,16978,"OS06G0143700,OS08G0300300,OS10G0554200,OS01G0645900,OS01G0704100,OS02G0595900,OS02G0112100,OS02G0112600"
GO:MF,UDP-glycosyltransferase activity,GO:0008194,TRUE,0.003426309077927910,2.4651734630914400,350,351,20,16978,"OS02G0798100,OS10G0555100,OS04G0477500,OS05G0499800,OS03G0269900,OS04G0523600,OS01G0805400,OS01G0686300,OS05G0527100,OS04G0320700,OS08G0489100,OS10G0534700,OS07G0503300,OS05G0526900,OS01G0865400,OS09G0518200,OS01G0752600,OS04G0206500,OS05G0552700,OS01G0638000"
GO:MF,FAD binding,GO:0071949,TRUE,0.006755509176852130,2.170341911725090,73,351,8,16978,"OS04G0448900,OS08G0460600,OS06G0548100,OS06G0548200,OS10G0550900,OS08G0468100,OS02G0770800,OS02G0220000"
GO:MF,salt transmembrane transporter activity,GO:1901702,FALSE,0.006755509176852130,2.170341911725090,210,351,14,16978,"OS06G0336200,OS06G0143700,OS04G0559700,OS10G0501500,OS08G0300300,OS10G0554200,OS01G0975900,OS01G0645900,OS01G0704100,OS10G0492600,OS02G0595900,OS02G0112100,OS02G0112600,OS03G0233000"
GO:MF,"hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0004553,FALSE,0.006755509176852130,2.170341911725090,408,351,21,16978,"OS11G0701500,OS05G0375400,OS08G0518900,OS04G0664800,OS02G0200300,OS03G0374600,OS05G0247100,OS07G0480800,OS06G0356800,OS06G0106800,OS11G0701800,OS10G0542900,OS08G0473900,OS02G0605900,OS01G0296200,OS05G0495900,OS01G0946700,OS01G0860400,OS01G0860500,OS01G0268600,OS03G0351300"
GO:MF,"oxidoreductase activity, acting on other nitrogenous compounds as donors",GO:0016661,TRUE,0.007912996552577480,2.1016590234797300,6,351,3,16978,"OS08G0468100,OS01G0357100,OS02G0770800"
GO:MF,"hydrolase activity, acting on glycosyl bonds",GO:0016798,FALSE,0.015510403174648500,1.8093769130665100,473,351,22,16978,"OS11G0701500,OS05G0375400,OS08G0518900,OS04G0664800,OS02G0200300,OS03G0374600,OS05G0247100,OS07G0480800,OS06G0356800,OS06G0106800,OS11G0701800,OS10G0542900,OS08G0473900,OS02G0605900,OS01G0296200,OS05G0495900,OS01G0946700,OS01G0167400,OS01G0860400,OS01G0860500,OS01G0268600,OS03G0351300"
GO:MF,acetylglucosaminyltransferase activity,GO:0008375,FALSE,0.01721708105842230,1.7640404758599400,18,351,4,16978,"OS02G0798100,OS04G0477500,OS03G0269900,OS10G0534700"
GO:MF,inorganic molecular entity transmembrane transporter activity,GO:0015318,FALSE,0.02781006749517970,1.5557979570995800,403,351,19,16978,"OS03G0296800,OS06G0336200,OS06G0143700,OS04G0559700,OS06G0644200,OS10G0501500,OS08G0300300,OS10G0554200,OS01G0975900,OS01G0645900,OS05G0468700,OS12G0503000,OS01G0704100,OS10G0492600,OS02G0595900,OS02G0112100,OS02G0112600,OS02G0620600,OS03G0233000"
GO:MF,water transmembrane transporter activity,GO:0005372,TRUE,0.029825424909876100,1.5254133604086700,22,351,4,16978,"OS06G0336200,OS04G0559700,OS01G0975900,OS10G0492600"
GO:MF,nitrate reductase activity,GO:0008940,FALSE,0.029825424909876100,1.5254133604086700,3,351,2,16978,"OS08G0468100,OS02G0770800"
GO:MF,nitrate reductase (NADH) activity,GO:0009703,FALSE,0.029825424909876100,1.5254133604086700,3,351,2,16978,"OS08G0468100,OS02G0770800"
GO:MF,water channel activity,GO:0015250,FALSE,0.029825424909876100,1.5254133604086700,22,351,4,16978,"OS06G0336200,OS04G0559700,OS01G0975900,OS10G0492600"
GO:MF,transmembrane transporter activity,GO:0022857,FALSE,0.029825424909876100,1.5254133604086700,1276,351,43,16978,"OS02G0301100,OS08G0187800,OS03G0296800,OS06G0336200,OS07G0106200,OS06G0143700,OS04G0559700,OS06G0644200,OS03G0823500,OS04G0441800,OS03G0817200,OS10G0501500,OS04G0571600,OS07G0559700,OS08G0300300,OS10G0554200,OS02G0768300,OS01G0825800,OS04G0460300,OS10G0360100,OS01G0975900,OS05G0269200,OS05G0430900,OS01G0645900,OS05G0468700,OS05G0119000,OS08G0529000,OS12G0503000,OS08G0564300,OS05G0120200,OS01G0919800,OS09G0484900,OS01G0704100,OS02G0573500,OS06G0324800,OS02G0574100,OS10G0492600,OS02G0595900,OS02G0112100,OS02G0112600,OS02G0620600,OS02G0676400,OS03G0233000"
GO:MF,nitrate reductase (NADPH) activity,GO:0050464,FALSE,0.029825424909876100,1.5254133604086700,3,351,2,16978,"OS08G0468100,OS02G0770800"
GO:MF,nitrate reductase [NAD(P)H] activity,GO:0050463,FALSE,0.029825424909876100,1.5254133604086700,3,351,2,16978,"OS08G0468100,OS02G0770800"
GO:MF,dioxygenase activity,GO:0051213,TRUE,0.03635464946717020,1.4394400384828500,131,351,9,16978,"OS10G0536400,OS03G0122300,OS03G0645900,OS04G0667400,OS04G0475600,OS05G0560900,OS03G0289800,OS09G0451400,OS12G0617400"
GO:MF,"2 iron, 2 sulfur cluster binding",GO:0051537,TRUE,0.03732151987593090,1.4280406784226100,62,351,6,16978,"OS10G0567400,OS01G0667900,OS05G0563900,OS05G0443500,OS02G0792800,OS01G0860601"
